[2861157.570] Initializing Modding Framework.
[2861157.570] Connected to modding database!
[2861157.570] Ensuring Foreign Key support is enabled and set to initially deferred.
[2861157.570] Checking database version...
[2861157.570] Modding database is up-to-date!
[2861157.570] Initializing Services...
[2861157.570] Component Discovery Service initialized.
[2861157.570] File Service initialized.
[2861157.570] Localization Service initialized.
[2861157.570] Mod Association Service initialized
[2861157.570] Mod Discovery Service initialized.
[2861157.570] Mod Loader Service initialized.
[2861157.570] Mod Selection Service missing. Skipping.
[2861157.570] Ownership Service initialized.
[2861157.570] Properties Service initialized.
[2861157.573] Setting Discovery Service initialized.
[2861157.574] Subscription Service - Detected 145 subscriptions
[2861157.575] Subscription Service - Subscription 3792052697 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 3556314860 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 2673025199 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 3743073657 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 2428969051 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 2066679333 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 3475004450 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 3533091092 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.575] Subscription Service - Subscription 3307282026 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3772692532 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3441053170 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 2823157021 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3759491865 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3197114810 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3594514862 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 2967018055 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 1405510809 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 3714554153 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 2794603014 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.576] Subscription Service - Subscription 916614621 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3577637978 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3579527526 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3601087897 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3556318517 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3742609456 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 2842681560 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 1964253020 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 2939752243 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.577] Subscription Service - Subscription 3613815414 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 3109150636 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 3678480812 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2649883604 - Installed? 1, Downloading? 0, DownloadPending? 0
